Category,Question,Answer,Links
,Academic calender,"The academic calendar provides a schedule of academic activities, including semester dates, holidays, exam schedules, and important deadlines.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/AC2024-25.pdf
,When did the admission disclose,"The date when admission notifications are released, informing prospective students about the start of the application process and deadlines.",https://eternaluniversity.edu.in/content/admission-disclosures
,Fee refund policy,"The university's policy for fee refunds, typically outlining the conditions and timelines under which fees are refundable.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/FeeRefundPolicy2024-25.pdf
,What are the guidelines for foreign students,"Guidelines for foreign students, including admission procedures, visa requirements, accommodation, and support services available to international students.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/FSG.pdf
,structure of research & development cell,"Information on the structure of the research and development cell, detailing the department responsible for promoting research and supporting academic innovation.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/RDC1_merged.pdf
,Know about the dean research message,"A message from the Dean of Research outlining the university�s research vision, goals, and initiatives to encourage academic exploration and innovation.",https://eternaluniversity.edu.in/content/messagedeanresearch
,Research about activity,"Information about research activities, including ongoing projects, areas of study, and any university-wide research initiatives.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/grant_proposal.pdf
,reasearch promotion policy,"The research promotion policy aimed at supporting and encouraging research across disciplines, including funding, collaboration, and infrastructure support.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/ResearchPromotionandIncentivePolicy.pdf
,Where the research gets funds,"Information about where research funding comes from, including grants, government funding, industry partnerships, and internal university support.",https://eternaluniversity.edu.in/content/fundingagencies
,information about entreprenueurship cell,"Details about the entrepreneurship cell, which supports students and alumni in developing business ideas, startups, and entrepreneurial ventures.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/EntrepreneurshipCell.pdf
,Information about ongoing/current reasearch,Information about ongoing or current research projects being carried out by the university�s faculty and students.,https://eternaluniversity.edu.in/content/research
,MoUS,"Memorandums of Understanding (MoUs) signed by the university with other institutions, organizations, or industry partners for research or academic collaboration.",https://eternaluniversity.edu.in/content/mou
,Publications,"Publications produced by the university, including journals, research papers, and other academic outputs related to faculty and student research.",-
,Projects that are complete,"Information on completed research projects, including their outcomes, impact, and any published results or findings.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Sanctioned-Projects.pdf
,SRIC & IPR policy,"The SRIC (Scientific Research & Industrial Consultancy) and Intellectual Property Rights (IPR) policy, which governs how research is managed and protected.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/consultancypolicyeternaluniversity.pdf
,SRIC,"SRIC stands for Scientific Research & Industrial Consultancy, which facilitates industry collaboration, consultancy services, and applied research.",https://eternaluniversity.edu.in/content/sric
,Campus overview,"A general overview of the campus, including information about its location, facilities, infrastructure, and student amenities.",https://eternaluniversity.edu.in/content/university-campus
,Beekeeping,"Information on beekeeping initiatives, including research, education, or practical training offered in this area as part of the university�s programs.",https://eternaluniversity.edu.in/content/apiaryunit
,Quality of food ,"Details about the quality of food provided on campus, such as cafeteria services, food hygiene, and nutritional standards.",https://eternaluniversity.edu.in/content/akalfoodsafetyandqualitycontrollaboratory
,Compost making,"Information on compost-making programs, workshops, or research focusing on sustainable waste management and organic farming practices.",https://eternaluniversity.edu.in/content/vermicompostunit
,Silage unit,"Details about the silage unit, typically associated with agricultural studies, where students learn about silage production and its role in livestock feed.",https://eternaluniversity.edu.in/content/silageunit
,Sports information,"Information about sports facilities, events, and activities available to students, including intramural competitions, fitness programs, and athletic teams.",https://eternaluniversity.edu.in/content/sports
,library,"The library provides a wide range of academic resources, including books, journals, e-resources, and study spaces for students and faculty.",https://eternaluniversity.edu.in/content/library
,engineering workshop,"The engineering workshop is a facility where students learn practical skills related to engineering through hands-on training, using various tools and machinery.",https://eternaluniversity.edu.in/content/workshop
,Equipments in agriculture,"Dr. Khem Singh Gill Akal College of Agriculture offers undergraduate and postgraduate programs in agriculture, with a focus on modern agricultural practices and research.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/ListofEquipmentsindifferentdepartments(1).pdf
,Equipments in Enginnering,"Akal College of Engineering & Technology offers various engineering programs, focusing on technical education and preparing students for the industry.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/engg-Equipments.pdf
,Equipments in Sciences,"Akal College of Basic Sciences offers foundational programs in sciences such as mathematics, physics, chemistry, and biology, promoting research and innovation.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/basic-sciences-equipments.pdf
,Applications ,"Applications refer to forms or online processes through which students can apply for admission to different programs at the university.",https://eternaluniversity.edu.in/content/performas
,"Results","Results refer to the final grades, scores, or academic outcomes of students after the completion of exams or academic assessments.","https://eternaluniversity.edu.in/Results"
,"ACBS Akal College of Basic Sciences","ACBS (Akal College of Basic Sciences) focuses on providing strong foundational knowledge in core science subjects and promotes scientific research and discovery.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/QuestionPaperStructureACBS.pdf
,"ACECM Akal College of Economics", "ACECM (Akal College of Economics, Commerce, and Management) offers programs in economics, commerce, and management, preparing students for business and economic careers.", "chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/QUESTIONPAPERSSTRUCTUREACECM.pdf"
,"ACASS Akal College of Arts and Social Sciences", "ACASS (Akal College of Arts and Social Sciences) offers programs in the humanities and social sciences, focusing on research and academic development in various fields.", "chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/QUESTIONPAPERSSTRUCTUREACASS.pdf"
,"E-Learning portal", "The E-Learning portal is an online platform where students can access digital learning materials, attend online classes, and engage with educational content.", "https://lms.eternaluniversity.edu.in/"
,Forms,"Forms are official documents provided by the university, including application forms, registration forms, and other administrative paperwork.",https://eternaluniversity.edu.in/content/examination-forms
,Datesheet,"The datesheet outlines the schedule of exams, including the dates and times for each subject, helping students plan and prepare for assessments.",https://eternaluniversity.edu.in/content/datesheet-2022
,Degree awarded,"Degree awarded refers to the official academic qualification granted to students upon successful completion of their chosen program.",https://eternaluniversity.edu.in/content/degree-awarded
,Student policies,"Student policies include the rules and guidelines governing student behavior, academic integrity, attendance, and other essential aspects of student life.",https://eternaluniversity.edu.in/content/student-policies
,I am facing discrimination !,"�I am facing discrimination� refers to a reporting system where students can raise concerns or complaints about discrimination they may have experienced."",https://eternaluniversity.edu.in/Grievance
,Anti-ragging policy,"The Anti-ragging policy aims to prevent and address any instances of ragging, ensuring a safe and respectful environment for all students.",https://eternaluniversity.edu.in/content/anti-ragging
,National cadet corps,"The National Cadet Corps (NCC) is a program that provides military training and discipline to students, promoting leadership and patriotism.",https://eternaluniversity.edu.in/content/ncc
,National service scheme,"The National Service Scheme (NSS) encourages students to participate in community service and social development activities, fostering a sense of responsibility.",https://eternaluniversity.edu.in/content/nss
,SGRC & Ombudsperson,"SGRC & Ombudsperson refer to the Student Grievance Redressal Committee and the Ombudsperson, which address student complaints and concerns about university life.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Ombudsperson.pdf
,Details of hostel ,"Details of hostel provide information about on-campus accommodation options, including room availability, facilities, and hostel rules.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/HostelDetails.pdf
,Health facilities,"Health facilities include the medical services available to students, such as a health center, first aid, counseling, and other support services.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/HealthFacilities.pdf
,Report world ozone day ,"Report on World Ozone Day includes details about the university�s activities, events, and awareness campaigns related to ozone layer protection.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Report-WorldOzoneDay15-09-2023.pdf
,Expert talk blockchain,"An expert talk on blockchain focuses on educating students about blockchain technology, its applications, and its impact on various industries.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Report-ExperttalkBlockchain08-09-2023.pdf
,Expert talk entrepreneurship,"An expert talk on entrepreneurship is a session where experienced entrepreneurs share insights, advice, and strategies for starting and managing businesses.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Report-ExpertTalkWomenEntreprenuership18-09-2023.pdf
,Report-inaugration of COEFA,The report on the inauguration of COEFA (Center of Excellence for Food Agriculture) details the launch of a new center aimed at promoting food and agricultural research.,chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Report-InaugurationofCOEFA.pdf
,Report-VIKSIT BHARAT PM Add,VIKSIT BHARAT PM Add report discusses the university�s role in supporting the vision of �Viksit Bharat� (Developed India) as outlined by the Prime Minister.,chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Report-VIKSITBHARATPMAddress11-12-2023.pdf
,Report-Workshop in soil ,The report on the Workshop in Soil focuses on the university�s efforts to educate students and researchers on soil science and sustainable agriculture practices.,chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Report-WorkshopInSoilOctober2023.pdf
,Report-Expert talk Nursing,"The Expert Talk on Nursing discusses the latest trends, research, and advancements in the nursing profession, offering insights from industry experts.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Report-ExpertTalkNursingSept2023.pdf
,Report -national pollution control,"The National Pollution Control Day report outlines the university�s activities, awareness programs, and contributions to environmental conservation and pollution control.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Report-NationalPollutionControlDay-Dec2023.pdf
,Report-national science day,"The National Science Day report covers events and activities related to science, research, and innovation that were conducted in honor of National Science Day.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Report-NationalScienceDayFeb2024.pdf
,Certificate of establishment,"The Certificate of Establishment signifies the formal recognition and establishment of the university, certifying its operational and academic standing.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/EstablismentCertificate(1).pdf
,EU-IIC Committee New ,EU-IIC Committee New refers to the newly established university-industry interaction committee aimed at fostering collaboration between academia and industry.,chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/EU-IICCommitteeNew20-03-2023.pdf
,Kisan mela,"Kisan Mela is an agricultural fair where students, farmers, and experts gather to exchange knowledge on farming practices, technologies, and innovations.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/KisanMela-2023report-IICformat.pdf
,Event Gallery,"Event Gallery showcases photos, videos, and other media from various university events, including academic, cultural, and community outreach activities.",https://eternaluniversity.edu.in/Events
,ACBS,"ACBS (Akal College of Basic Sciences) offers foundational programs in basic sciences like mathematics, physics, chemistry, and biology, encouraging scientific inquiry.",https://eternaluniversity.edu.in/Activity/acbs
,ACASS,"ACASS (Akal College of Arts and Social Sciences) focuses on humanities and social sciences, offering programs in literature, history, sociology, and psychology.",https://eternaluniversity.edu.in/Activity/acass
,ACE,"ACE (Akal College of Education) offers programs in teaching and educational leadership, aiming to develop future educators with a solid academic foundation.",https://eternaluniversity.edu.in/Activity/ace
,ACECM,"ACECM (Akal College of Economics, Commerce, and Management) offers business, economics, and commerce programs to prepare students for leadership roles in the business world.",https://eternaluniversity.edu.in/Activity/acecm
,ACHAS,"ACHAS (Akal College of Health and Applied Sciences) focuses on health sciences and applied studies, providing programs related to nursing, medical technology, and healthcare.",https://eternaluniversity.edu.in/Activity/achas
,SDG activities,"SDG Activities refer to initiatives and projects undertaken by the university to support the United Nations Sustainable Development Goals (SDGs), fostering global sustainability.",https://eternaluniversity.edu.in/content/sdg-goals
,EU-Sustanable report,"The EU-Sustainable Report provides an overview of the university�s commitment and actions towards sustainability, including its energy use, waste management, and environmental policies.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/EternalUniversitySustainabilityReport2021.pdf
,other SDG works,"Other SDG Works include additional initiatives and research efforts the university is involved in that contribute to achieving the SDGs, such as clean energy, education, and poverty alleviation.",https://eternaluniversity.edu.in/content/sdgwork
,Carbon Footprint reduction ,"Carbon Footprint Reduction focuses on university efforts to reduce greenhouse gas emissions, including energy-efficient systems, renewable energy projects, and sustainable practices.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/1.CarbonFootprintReductionPledge.pdf
,library community outreach,"Library Community Outreach involves the university�s library providing resources, workshops, and community programs to promote literacy and education in the local area.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/2.LibraryCommunityOutreach.pdf
,wall of giving & sharing,"Wall of Giving & Sharing is a campus initiative that encourages students and faculty to donate items or services to support those in need, fostering a culture of charity and community.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/3.Wallofgiving&Sharing.pdf
,entreprenurship & incubation,"Entrepreneurship & Incubation refers to the university's support for student startups, offering resources, mentoring, and funding to help students launch new ventures.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/4.Entrepreneurship&IncubationCellChapter.pdf
,climate and environment sustanble,"Climate and Environment Sustainability initiatives focus on reducing the university�s environmental impact and promoting sustainable practices for a cleaner, greener future.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/5.ClimateandEnvironmentSustainabilityImpactHackathon.pdf
,STEM Community outreach ,"STEM Community Outreach involves the university�s efforts to engage with local communities to promote science, technology, engineering, and mathematics (STEM) education and careers.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/6.STEMCommunityOutreachProgrammes.pdf
,UCRC,"UCRC (University Community Resource Center) offers programs and services to assist students and local communities, providing resources for educational and social development.",https://eternaluniversity.edu.in/content/ucrc
,Unnat bharat abhiyan,"Unnat Bharat Abhiyan is a national initiative aiming to bring sustainable development to rural India through technological interventions, research, and community-based activities.",https://eternaluniversity.edu.in/content/unnatbharatabhiyan
,RTI Committee,"RTI Committee is responsible for managing the university�s compliance with the Right to Information Act, ensuring transparency and accountability in university operations.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/RTIcommittee2022.pdf
,Women empowerment cell,"Women Empowerment Cell promotes gender equality and empowers women through workshops, legal support, and awareness campaigns on women�s rights and empowerment.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/WEC.pdf
,Women affair redressal committee,"Women Affairs Redressal Committee addresses grievances related to gender discrimination, harassment, and other issues faced by female students and staff.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/WARC.pdf
,Task Force for security arrangement,"Task Force for Security Arrangement ensures the safety and security of the campus community by implementing measures for physical, cyber, and emergency security.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/TFSA.pdf
,Alumani association,"Alumni Association connects former students with the university, promoting networking, professional growth, and continuous involvement in university activities.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/EU-AA.pdf
,Extended profile deviations,"Extended Profile Deviations refer to variations or discrepancies in the extended profile of the university, usually regarding academic or infrastructural standards.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Extended.pdf
,Metrics Level deviations,"Metrics Level Deviations highlight areas where the university�s performance deviates from the expected metrics, often related to academic achievements or infrastructure.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Metrics.pdf
,NAAC SSR report,NAAC SSR Report (Self-Study Report) is a comprehensive document submitted to the National Assessment and Accreditation Council to evaluate the university's quality standards.,chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Eternal-University-NAAC-Self-Study-Report.pdf
,Criterian templates,"Criterion Templates are standard forms or guidelines used to gather information for the NAAC SSR, covering areas like teaching, research, infrastructure, and student support.",#
,NAAC Peer team visit,NAAC Peer Team Visit refers to the on-site visit by a team of experts to assess the university�s self-assessment report and verify its claims for accreditation purposes.,https://www.youtube.com/watch?v=C901EpKcwJc&feature=emb_imp_woyt
,IIQA,"IIQA (Institutional Information for Quality Assurance) is a document submitted by the university as part of the NAAC accreditation process, containing detailed information about the institution.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/IIQAETERNAL_UNIVERSITY_BARU_SAHIB.pdf
,Maintenance policy,"Maintenance Policy outlines how the university ensures the upkeep of its infrastructure, including buildings, technology, and equipment, to maintain operational efficiency.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/UniversityPoliciesforNAACfinal.pdf
,IQAC Committee,IQAC (Internal Quality Assurance Cell) Committee works to ensure continuous improvement in the university�s academic and administrative processes to enhance quality.,chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/IQACCommittee-2022.pdf
,Bibliometrics of the publications,"Bibliometrics of Publications involves the quantitative analysis of academic publications by the university, including citations, impact factors, and research output.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Bibliometricsofthepublications.pdf
,Books and chapters in edited ,"Books and Chapters in Edited Volumes refer to academic books and research chapters authored by university faculty and students, published in scholarly volumes.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Books-and-Chapters-in-edited-Volumes-Books-published.pdf
,H-index,"H-index is a metric used to measure the productivity and citation impact of the university�s researchers, showing the balance of publication output and citation frequency.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/h-index.pdf
,Learning outcomes,"Learning Outcomes refer to the expected skills, knowledge, and competencies that students should have upon completing their academic programs at the university.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/h-index.pdf
,SSS And feedback,"SSS (Student Satisfaction Survey) and Feedback are tools used to gather students' opinions on their academic experience, helping the university improve services and programs.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/SSS-and-Feedback.pdf
,Proceeding,"Proceedings refer to official records or reports of conferences, seminars, and workshops organized by the university or attended by its staff and students.",https://eternaluniversity.edu.in/content/iqac-proceedings
,SSR Accrediated B.Sc.,"SSR Accredited B.Sc. refers to the accreditation status of the B.Sc. programs, confirming their quality and recognition by the relevant accreditation bodies.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/SelfStudyReportAccredited-B.Sc.(Hons.)Agriculturedegreeprogramme.pdf
,NIRF 2019,"NIRF 2019, 2020, 2021, 2022, and 2024 represent the university's rankings in the National Institutional Ranking Framework (NIRF) across different years, reflecting academic and infrastructural performance.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/All-Submitted-Report-NIRF_Redacted.pdf
,NIRF2020,"NIRF 2019, 2020, 2021, 2022, and 2024 represent the university's rankings in the National Institutional Ranking Framework (NIRF) across different years, reflecting academic and infrastructural performance.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/All-Report-MHRD-National-Institutional-Ranking-Framework-NIRF.pdf
,NIRF 2021,"NIRF 2019, 2020, 2021, 2022, and 2024 represent the university's rankings in the National Institutional Ranking Framework (NIRF) across different years, reflecting academic and infrastructural performance.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/NIRF%20Submitted%20Report.pdf
,NIRF 2022,"NIRF 2019, 2020, 2021, 2022, and 2024 represent the university's rankings in the National Institutional Ranking Framework (NIRF) across different years, reflecting academic and infrastructural performance.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/NIRF2022.pdf
,NIRF 2024,"NIRF 2019, 2020, 2021, 2022, and 2024 represent the university's rankings in the National Institutional Ranking Framework (NIRF) across different years, reflecting academic and infrastructural performance.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/NIRF2024.pdf
,ARIIA 2021,"ARIIA 2021 (Atal Ranking of Institutions on Innovation Achievements) highlights the university's performance in promoting innovation, entrepreneurship, and research.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/ARIIA%202021%20Report.pdf
,training and placement cell,"The Training and Placement Cell supports students in finding internships, job opportunities, and preparing for interviews and career development.",https://eternaluniversity.edu.in/content/tpc
,Placements,Placements refer to the process by which students are recruited by companies or organizations for full-time jobs upon completing their academic programs.,chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/placement.pdf
,Internship,"Internship provides students with practical work experience in their field of study, enhancing learning and improving employability.",#
,Student testinomial,"Student Testimonial includes feedback from students regarding their experiences at the university, helping to showcase success stories and highlight university strengths.",https://eternaluniversity.edu.in/content/Students-Testimonials
,COC for teachers,Code of Conduct (COC) for Teachers outlines the ethical and professional expectations for faculty members in their teaching and research roles.,chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/CodeofConductforTeachers.pdf
,COC for administration,"Code of Conduct (COC) for Administration sets standards for administrative staff behavior, ensuring efficiency, professionalism, and ethical conduct in the university.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/CODEOFCONDUCTFORADMINISTRATORS.pdf
,COC for student & staff,"Code of Conduct (COC) for Students & Staff provides guidelines for student and staff behavior, ensuring a respectful, safe, and productive campus environment.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/CodeofConductforStudentsandStaff.pdf
,How we can contact university,"provides the contact details, including phone numbers, email addresses, and online forms, through which students, faculty, and the public can get in touch with the university.",https://eternaluniversity.edu.in/ContactUs
,National education policy,"National Education Policy outlines the Indian government's policy framework for education reform, focusing on improving quality, inclusivity, and accessibility in education across the country.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/EU_UGCF_2023_1.2.pdf
,Chancellor info,"Chancellor Info provides details about the university's Chancellor, who is typically the ceremonial head of the university, overseeing its governance and academic progress.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Chancellor.pdf
,Vice chancellor info,"Vice Chancellor Info offers information about the Vice-Chancellor, who is the chief executive officer of the university, responsible for academic administration and overall institutional development.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/VC.pdf
,Pro vice chancellor info,"Pro Vice Chancellor Info refers to the Pro Vice-Chancellor, who supports the Vice-Chancellor and often oversees specific aspects of university administration or academic programs.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/PVC.pdf
,Registrar,"Registrar is responsible for managing the administrative functions of the university, including student admissions, records, and maintaining official documents.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Registrar.pdf
,Principal,"Principal is the head of a specific college or academic department within the university, responsible for academic leadership, student welfare, and overall functioning.",https://eternaluniversity.edu.in/content/PACN
,finance officier,"Finance Officer manages the university�s finances, including budgeting, accounting, financial planning, and reporting, ensuring the institution's financial health.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/FinanceOffice.pdf
,Controller of examination,"Controller of Examination oversees the examination process, ensuring that exams are conducted fairly, results are published on time, and academic standards are maintained.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/COE.pdf
,Chief Vigilance officier,"Chief Vigilance Officer is responsible for overseeing and ensuring that the university�s operations are conducted ethically, without corruption or misconduct.",#
,ombudsperson,"Ombudsperson serves as an independent authority to address grievances and complaints from students, staff, and faculty, ensuring fairness and justice in university matters.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/PVC.pdf
,committee and council,"Committee and Council includes various advisory bodies within the university, such as academic councils, disciplinary committees, and policy-making groups.",https://eternaluniversity.edu.in/content/CMCC
,internal complaint,"Internal Complaint refers to the system through which students, staff, or faculty can file complaints related to university activities, including academic, administrative, or personal issues.",#
,Academic leadership,"Academic Leadership refers to the team of senior academic leaders, such as Deans and Department Heads, who guide and manage the academic direction of the university.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Academic_Leadership.pdf
,NAAC,NAAC (National Assessment and Accreditation Council) is the body responsible for evaluating and accrediting universities and institutions in India based on quality standards.,https://eternaluniversity.edu.in/eunaac
,Tare,"Tare refers to a measure or methodology for assessing university performance, possibly related to teaching, assessment, and overall academic output.",https://serbonline.in/SERB/Tare
,Career,"Career refers to the opportunities and services offered by the university�s career center, including job placements, internships, and career counseling.",https://eternaluniversity.edu.in/content/career
